date,traded_companies,no_of_transaction,max_price,min_price,closing_price,traded_shares,amount,previous_closing,difference_rs
6/4/2012,Arun Valley Hydropower Development Co. Ltd.,16.0,285.0,280.0,285.0,379.0,106922.0,280.0,5.0
6/5/2012,Arun Valley Hydropower Development Co. Ltd.,19.0,287.0,276.0,284.0,986.0,277589.0,285.0,-1.0
6/6/2012,Arun Valley Hydropower Development Co. Ltd.,4.0,285.0,279.0,285.0,223.0,62948.0,284.0,1.0
6/7/2012,Arun Valley Hydropower Development Co. Ltd.,2.0,290.0,285.0,285.0,195.0,55740.0,285.0,0.0
6/10/2012,Arun Valley Hydropower Development Co. Ltd.,3.0,281.0,280.0,281.0,48.0,13456.0,285.0,-4.0
6/11/2012,Arun Valley Hydropower Development Co. Ltd.,5.0,285.0,280.0,285.0,375.0,105487.0,281.0,4.0
6/12/2012,Arun Valley Hydropower Development Co. Ltd.,1.0,288.0,288.0,288.0,28.0,8064.0,285.0,3.0
6/13/2012,Arun Valley Hydropower Development Co. Ltd.,5.0,285.0,284.0,285.0,486.0,138238.0,288.0,-3.0
6/14/2012,Arun Valley Hydropower Development Co. Ltd.,6.0,290.0,285.0,285.0,170.0,49056.0,285.0,0.0
6/17/2012,Arun Valley Hydropower Development Co. Ltd.,4.0,280.0,279.0,280.0,202.0,56544.0,285.0,-5.0
6/18/2012,Arun Valley Hydropower Development Co. Ltd.,4.0,288.0,285.0,288.0,177.0,50665.0,280.0,8.0
6/19/2012,Arun Valley Hydropower Development Co. Ltd.,3.0,288.0,283.0,288.0,99.0,28405.0,288.0,0.0
6/20/2012,Arun Valley Hydropower Development Co. Ltd.,14.0,289.0,274.0,277.0,1444.0,400937.0,288.0,-11.0
6/21/2012,Arun Valley Hydropower Development Co. Ltd.,6.0,282.0,277.0,282.0,278.0,78192.0,277.0,5.0
6/25/2012,Arun Valley Hydropower Development Co. Ltd.,19.0,292.0,278.0,292.0,635.0,181613.0,282.0,10.0
6/26/2012,Arun Valley Hydropower Development Co. Ltd.,4.0,291.0,291.0,291.0,64.0,18624.0,292.0,-1.0
6/27/2012,Arun Valley Hydropower Development Co. Ltd.,17.0,301.0,286.0,295.0,1102.0,322747.0,291.0,4.0
6/28/2012,Arun Valley Hydropower Development Co. Ltd.,10.0,305.0,299.0,300.0,352.0,105678.0,295.0,5.0
7/1/2012,Arun Valley Hydropower Development Co. Ltd.,10.0,302.0,285.0,302.0,526.0,156412.0,300.0,2.0
7/2/2012,Arun Valley Hydropower Development Co. Ltd.,9.0,306.0,298.0,305.0,323.0,97468.0,302.0,3.0
7/3/2012,Arun Valley Hydropower Development Co. Ltd.,7.0,305.0,301.0,301.0,275.0,83345.0,305.0,-4.0
7/4/2012,Arun Valley Hydropower Development Co. Ltd.,22.0,307.0,296.0,299.0,1168.0,348964.0,301.0,-2.0
7/5/2012,Arun Valley Hydropower Development Co. Ltd.,18.0,303.0,294.0,300.0,352.0,105327.0,299.0,1.0
7/8/2012,Arun Valley Hydropower Development Co. Ltd.,4.0,306.0,299.0,306.0,246.0,74367.0,300.0,6.0
7/9/2012,Arun Valley Hydropower Development Co. Ltd.,5.0,305.0,301.0,305.0,110.0,33174.0,306.0,-1.0
7/10/2012,Arun Valley Hydropower Development Co. Ltd.,7.0,310.0,305.0,305.0,303.0,92757.0,305.0,0.0
7/11/2012,Arun Valley Hydropower Development Co. Ltd.,11.0,306.0,300.0,306.0,376.0,112896.0,305.0,1.0
7/12/2012,Arun Valley Hydropower Development Co. Ltd.,13.0,305.0,301.0,303.0,330.0,99818.0,306.0,-3.0
7/15/2012,Arun Valley Hydropower Development Co. Ltd.,7.0,305.0,302.0,305.0,202.0,61388.0,303.0,2.0
7/16/2012,Arun Valley Hydropower Development Co. Ltd.,8.0,303.0,299.0,301.0,462.0,139058.0,305.0,-4.0
7/17/2012,Arun Valley Hydropower Development Co. Ltd.,7.0,306.0,303.0,304.0,106.0,32196.0,301.0,3.0
7/18/2012,Arun Valley Hydropower Development Co. Ltd.,6.0,303.0,300.0,300.0,279.0,83841.0,304.0,-4.0
7/19/2012,Arun Valley Hydropower Development Co. Ltd.,6.0,306.0,300.0,306.0,130.0,39240.0,300.0,6.0
