parameter_name,parameter_code,series_name,data
PM10 Inst,PM10_I,PM10 Inst,"{'value': 85.5999984741, 'datetime': '2020-03-24T02:01:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 61.7000007629, 'datetime': '2020-03-24T02:02:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 73.9000015259, 'datetime': '2020-03-24T02:03:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 55, 'datetime': '2020-03-24T02:04:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 72.0999984741, 'datetime': '2020-03-24T02:05:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 56.9000015259, 'datetime': '2020-03-24T02:06:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 58.1000022888, 'datetime': '2020-03-24T02:07:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 64.0999984741, 'datetime': '2020-03-24T02:08:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 61.6000022888, 'datetime': '2020-03-24T02:09:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 58.7000007629, 'datetime': '2020-03-24T02:10:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T02:11:00+00:00', 'value': 63.7, 'aqi': 53.9449081803005}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 79.8000030518, 'datetime': '2020-03-24T02:12:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 55.9000015259, 'datetime': '2020-03-24T02:13:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 72.5, 'datetime': '2020-03-24T02:14:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 56.4000015259, 'datetime': '2020-03-24T02:15:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 71.7000045776, 'datetime': '2020-03-24T02:16:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 72.0999984741, 'datetime': '2020-03-24T02:17:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 72.5, 'datetime': '2020-03-24T02:18:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 62.2000007629, 'datetime': '2020-03-24T02:19:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 67, 'datetime': '2020-03-24T02:20:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 66.3000030518, 'datetime': '2020-03-24T02:21:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 60.4000015259, 'datetime': '2020-03-24T02:22:00+00:00'}"
